"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"17"|"RT @CNN: Donald Trump: \"Hillary Clinton ran the State Department like a personal hedge fund\" https://t.co/UYpqI3w42L https://t.co/jVwNRfllS7"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877038887247872"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"theomark"|31|TRUE|FALSE|NA|NA
"18"|"RT @owillis: Everyone Is Noticing Trump's Newest Immigration Comments Mirror The Jeb Bush Plan He Mocked https://t.co/SK5D6Wm2EQ"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877038786580480"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"vjc411"|21|TRUE|FALSE|NA|NA
"19"|"RT @coton_luver: So @morningjoe @newday @cnn @sruhle Hypocrisy much? Not 1 word about Trumps taxes or charity. The media Trump Show. https:‚Ä¶"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877037897474048"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"realsmile"|63|TRUE|FALSE|NA|NA
"20"|"RT @linnyitssn: Donald Trump's new immigration plan is to tell white nationalists he'll deport everybody and to tell immigrants he won't."|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877037872263168"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"cateady53"|164|TRUE|FALSE|NA|NA
"21"|"RT @GillianA: Completely forgot I'd done a talk show with Donald Trump. #tbt https://t.co/LWuCU7wDu8"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877037771710464"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"damienjoreilly"|1986|TRUE|FALSE|NA|NA
"22"|"RT @JoshSchwerin: .@realDonaldTrump's misleading claim about Clinton Foundation, Russia and pay-to-play politics https://t.co/vQE9cL55pL vi‚Ä¶"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877037738156032"|NA|"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>"|"HarrellKirstein"|5|TRUE|FALSE|NA|NA
"23"|"RT @bubba_guido: @EmekaGift @realDonaldTrump Trump u must speak to the world about the terror abroad... The world needs a leader... Obama i‚Ä¶"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877037675307008"|NA|"<a href=\"http://blackberry.com/twitter\" rel=\"nofollow\">Twitter for BlackBerry¬Æ</a>"|"Emma_Jnr_75590"|115|TRUE|FALSE|NA|NA
"24"|"Trump Coulter betrayal timed perfectly to release of Coulter book about trusting Trump : https://t.co/8htnxtGVHv | Can't stop laughing"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877037494820864"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"YorchCalgarian"|0|FALSE|FALSE|NA|NA
"25"|"Huma Abedin associates claim jews aided by Holocaust memory; Abedin- Hillary's aide. But Trump's the anti semiteÌ†ΩÌ∏ï https://t.co/puQdJVMw5E"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877037427752960"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"Thegenuinejew"|0|FALSE|FALSE|NA|NA
"26"|"RT @JDiamond1: \"Release your taxes\" one man shouts as Trump speaks."|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877037364797441"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"KeshRue"|12|TRUE|FALSE|NA|NA
